t,x,y,z,roll,pitch,yaw
1.300140142440795898e+00,-5.253466770232425838e-04,-1.023669111521303748e-03,-7.714878941071304100e-04,4.448133933408295049e-02,3.519166438281600556e-02,7.376688190084333642e-04
1.300179481506347656e+00,-5.255285527934773753e-04,-1.023680979251449796e-03,-7.714113963822045702e-04,4.448118142496140792e-02,3.519174638877797801e-02,7.377075197329939363e-04
1.300215005874633789e+00,-5.256927809547471808e-04,-1.023691574443528519e-03,-7.713423264491373098e-04,4.448119275529924255e-02,3.519170196895216735e-02,7.376797696768829741e-04
1.300251007080078125e+00,-5.258591948384702761e-04,-1.023702250544259416e-03,-7.712723560083586819e-04,4.448094673450903730e-02,3.519174491706677371e-02,7.377499189248937521e-04
1.300286054611206055e+00,-5.260211921288321553e-04,-1.023712669294842828e-03,-7.712042726311708375e-04,4.448085557526591099e-02,3.519170723274164803e-02,7.377373043801988082e-04
1.350831270217895508e+00,-7.193696858253552503e-04,-1.180297904213027226e-03,-7.005774171886288825e-04,4.450647528393206209e-02,3.525764595153124681e-02,7.755228699132198610e-04
1.350915670394897461e+00,-7.196251956364566830e-04,-1.180795950109959566e-03,-7.005054975302781820e-04,4.450665858101486572e-02,3.525756647283215250e-02,7.755334279884132809e-04
1.350955486297607422e+00,-7.197457142254024953e-04,-1.181031118903566168e-03,-7.004715081184335413e-04,4.450685952962208508e-02,3.525764462772488367e-02,7.755106404768338747e-04
1.350991487503051758e+00,-7.198547021836565127e-04,-1.181243869602820098e-03,-7.004406680618807538e-04,4.450698736161394498e-02,3.525756295211340818e-02,7.755629863064943076e-04
1.351026773452758789e+00,-7.199615552423574904e-04,-1.181452414596624763e-03,-7.004104302313857253e-04,4.450710944610481584e-02,3.525746923996154331e-02,7.755203083662715654e-04
1.410609483718872070e+00,-9.818505512181039709e-04,-1.420805170447850090e-03,-6.835180871165544595e-04,4.468591146549917570e-02,3.521357361546465642e-02,7.462529843134339119e-04
1.410691261291503906e+00,-9.823219341725734736e-04,-1.420978825941235152e-03,-6.835418495968106217e-04,4.468558035726994532e-02,3.521372361884674701e-02,7.461278676181294341e-04
1.410732269287109375e+00,-9.825584385720733185e-04,-1.421065783137392827e-03,-6.835538508467858690e-04,4.468557994661370714e-02,3.521368216750756647e-02,7.462073511202696116e-04
1.410767078399658203e+00,-9.827592107990862358e-04,-1.421139510060066315e-03,-6.835640775999249699e-04,4.468546374540808414e-02,3.521362688916802874e-02,7.462364620639332872e-04
1.410802125930786133e+00,-9.829613602922821977e-04,-1.421213724643156625e-03,-6.835743672351447982e-04,4.468545734678397441e-02,3.521353281289845566e-02,7.462142024415137831e-04
1.410836696624755859e+00,-9.831607520642475333e-04,-1.421286977218509141e-03,-6.835844531114397462e-04,4.468537967452713283e-02,3.521345632748051208e-02,7.461018795393004315e-04
1.461299657821655273e+00,-1.211324784494928605e-03,-1.683050916006473318e-03,-6.993374179556691682e-04,4.445677374419048505e-02,3.529808517984205085e-02,7.842182091539444269e-04
1.461344480514526367e+00,-1.211471584878098849e-03,-1.683420984834683998e-03,-6.993525076426350493e-04,4.445682742187442166e-02,3.529815372114172151e-02,7.842147664281530223e-04
1.461358308792114258e+00,-1.211516873560044335e-03,-1.683535186593398177e-03,-6.993571999254637227e-04,4.445687888048394099e-02,3.529820411667511371e-02,7.841533473899803871e-04
